"simplistic , silly and tedious . ",Negative
"it's so laddish and juvenile , only teenage boys could possibly find it funny . ",Negative
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ,Negative
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . ",Negative
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . ,Negative
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . ",Negative
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . ,Negative
not so much farcical as sour . ,Negative
unfortunately the story and the actors are served with a hack script . ,Negative
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . ",Negative
a sentimental mess that never rings true . ,Negative
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ",Negative
"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . ",Positive
the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy . ,Positive
"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . ",Positive
the performances are an absolute joy . ,Positive
a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music . ,Positive
"grant carries the day with impeccable comic timing , raffish charm and piercing intellect . ",Positive
a sensitive and astute first feature by anne-sophie birot . ,Positive
"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . ",Positive
mazel tov to a film about a family's joyous life acting on the yiddish stage . ,Positive
"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow . ",Positive
"it's nice to see piscopo again after all these years , and chaykin and headly are priceless . ",Positive
"provides a porthole into that noble , trembling incoherence that defines us all . ",Positive
